"time","tiempoPromedioPedido","tiempoMaximoPedido","cantidadPedidos","longitudColaArmado","longitudColaCoccion","pedidosTerminados"
33.3,15.99616673610475,18.53094400970499,8,0,0,5
33.4,15.99616673610475,18.53094400970499,8,0,0,5
33.5,15.99616673610475,18.53094400970499,8,0,0,5
33.6,15.99616673610475,18.53094400970499,8,0,0,5
33.7,15.99616673610475,18.53094400970499,8,0,0,5
33.8,15.99616673610475,18.53094400970499,8,0,0,5
33.9,15.99616673610475,18.53094400970499,8,0,0,5
34,15.99616673610475,18.53094400970499,8,0,0,5
34.1,15.99616673610475,18.53094400970499,8,0,0,5
34.2,15.99616673610475,18.53094400970499,8,0,0,5
34.3,15.99616673610475,18.53094400970499,8,0,0,5
34.4,15.99616673610475,18.53094400970499,8,0,0,5
34.5,15.99616673610475,18.53094400970499,8,0,0,5
34.6,15.99616673610475,18.53094400970499,8,0,0,5
34.7,15.99616673610475,18.53094400970499,8,0,0,5
34.8,15.99616673610475,18.53094400970499,8,0,0,5
34.9,15.99616673610475,18.53094400970499,8,0,0,5
35,15.99616673610475,18.53094400970499,8,0,0,5
35.1,15.99616673610475,18.53094400970499,8,0,0,5
35.2,15.99616673610475,18.53094400970499,8,0,0,5
35.3,15.99616673610475,18.53094400970499,8,0,0,5
35.4,15.99616673610475,18.53094400970499,8,0,0,5
35.40088415891412,15.99616673610475,18.53094400970499,8,0,0,5
35.40088415891412,15.53555770831634,18.53094400970499,8,0,0,6
35.41992193120044,15.53555770831634,18.53094400970499,8,0,0,6
35.41992193120044,16.57065359655217,22.78122892596709,8,0,0,7
35.5,16.57065359655217,22.78122892596709,8,0,0,7
35.6,16.57065359655217,22.78122892596709,8,0,0,7
35.7,16.57065359655217,22.78122892596709,8,0,0,7
35.8,16.57065359655217,22.78122892596709,8,0,0,7
35.9,16.57065359655217,22.78122892596709,8,0,0,7
36,16.57065359655217,22.78122892596709,8,0,0,7
36.1,16.57065359655217,22.78122892596709,8,0,0,7
36.2,16.57065359655217,22.78122892596709,8,0,0,7
36.3,16.57065359655217,22.78122892596709,8,0,0,7
36.4,16.57065359655217,22.78122892596709,8,0,0,7
36.5,16.57065359655217,22.78122892596709,8,0,0,7
36.6,16.57065359655217,22.78122892596709,8,0,0,7
36.7,16.57065359655217,22.78122892596709,8,0,0,7
36.8,16.57065359655217,22.78122892596709,8,0,0,7
36.9,16.57065359655217,22.78122892596709,8,0,0,7
37,16.57065359655217,22.78122892596709,8,0,0,7
37.1,16.57065359655217,22.78122892596709,8,0,0,7
37.2,16.57065359655217,22.78122892596709,8,0,0,7
37.3,16.57065359655217,22.78122892596709,8,0,0,7
37.4,16.57065359655217,22.78122892596709,8,0,0,7
37.5,16.57065359655217,22.78122892596709,8,0,0,7
37.6,16.57065359655217,22.78122892596709,8,0,0,7
37.7,16.57065359655217,22.78122892596709,8,0,0,7
37.8,16.57065359655217,22.78122892596709,8,0,0,7
37.9,16.57065359655217,22.78122892596709,8,0,0,7
38,16.57065359655217,22.78122892596709,8,0,0,7
38.1,16.57065359655217,22.78122892596709,8,0,0,7
38.2,16.57065359655217,22.78122892596709,8,0,0,7
38.3,16.57065359655217,22.78122892596709,8,0,0,7
38.38431131863935,16.57065359655217,22.78122892596709,8,0,0,7
38.38431131863935,16.57065359655217,22.78122892596709,8,0,0,7
38.4,16.57065359655217,22.78122892596709,8,0,0,7
38.5,16.57065359655217,22.78122892596709,8,0,0,7
38.6,16.57065359655217,22.78122892596709,8,0,0,7
38.7,16.57065359655217,22.78122892596709,8,0,0,7
38.8,16.57065359655217,22.78122892596709,8,0,0,7
38.9,16.57065359655217,22.78122892596709,8,0,0,7
39,16.57065359655217,22.78122892596709,8,0,0,7
39.1,16.57065359655217,22.78122892596709,8,0,0,7
39.2,16.57065359655217,22.78122892596709,8,0,0,7
39.3,16.57065359655217,22.78122892596709,8,0,0,7
39.4,16.57065359655217,22.78122892596709,8,0,0,7
39.45424757196029,16.57065359655217,22.78122892596709,8,0,0,7
39.45424757196029,16.57065359655217,22.78122892596709,9,0,0,7
39.5,16.57065359655217,22.78122892596709,9,0,0,7
39.6,16.57065359655217,22.78122892596709,9,0,0,7
39.7,16.57065359655217,22.78122892596709,9,0,0,7
39.8,16.57065359655217,22.78122892596709,9,0,0,7
39.9,16.57065359655217,22.78122892596709,9,0,0,7
40,16.57065359655217,22.78122892596709,9,0,0,7
40.1,16.57065359655217,22.78122892596709,9,0,0,7
40.2,16.57065359655217,22.78122892596709,9,0,0,7
40.3,16.57065359655217,22.78122892596709,9,0,0,7
40.4,16.57065359655217,22.78122892596709,9,0,0,7
40.5,16.57065359655217,22.78122892596709,9,0,0,7
40.6,16.57065359655217,22.78122892596709,9,0,0,7
40.7,16.57065359655217,22.78122892596709,9,0,0,7
40.8,16.57065359655217,22.78122892596709,9,0,0,7
40.9,16.57065359655217,22.78122892596709,9,0,0,7
41,16.57065359655217,22.78122892596709,9,0,0,7
41.1,16.57065359655217,22.78122892596709,9,0,0,7
41.2,16.57065359655217,22.78122892596709,9,0,0,7
41.3,16.57065359655217,22.78122892596709,9,0,0,7
41.4,16.57065359655217,22.78122892596709,9,0,0,7
41.5,16.57065359655217,22.78122892596709,9,0,0,7
41.6,16.57065359655217,22.78122892596709,9,0,0,7
41.7,16.57065359655217,22.78122892596709,9,0,0,7
41.8,16.57065359655217,22.78122892596709,9,0,0,7
41.9,16.57065359655217,22.78122892596709,9,0,0,7
42,16.57065359655217,22.78122892596709,9,0,0,7
42.1,16.57065359655217,22.78122892596709,9,0,0,7
42.2,16.57065359655217,22.78122892596709,9,0,0,7
42.3,16.57065359655217,22.78122892596709,9,0,0,7
42.4,16.57065359655217,22.78122892596709,9,0,0,7
42.5,16.57065359655217,22.78122892596709,9,0,0,7
42.6,16.57065359655217,22.78122892596709,9,0,0,7
42.7,16.57065359655217,22.78122892596709,9,0,0,7
42.8,16.57065359655217,22.78122892596709,9,0,0,7
42.9,16.57065359655217,22.78122892596709,9,0,0,7
43,16.57065359655217,22.78122892596709,9,0,0,7
43.1,16.57065359655217,22.78122892596709,9,0,0,7
43.2,16.57065359655217,22.78122892596709,9,0,0,7
43.3,16.57065359655217,22.78122892596709,9,0,0,7
43.4,16.57065359655217,22.78122892596709,9,0,0,7
43.5,16.57065359655217,22.78122892596709,9,0,0,7
43.6,16.57065359655217,22.78122892596709,9,0,0,7
43.7,16.57065359655217,22.78122892596709,9,0,0,7
43.8,16.57065359655217,22.78122892596709,9,0,0,7
43.9,16.57065359655217,22.78122892596709,9,0,0,7
44,16.57065359655217,22.78122892596709,9,0,0,7
44.1,16.57065359655217,22.78122892596709,9,0,0,7
44.2,16.57065359655217,22.78122892596709,9,0,0,7
44.3,16.57065359655217,22.78122892596709,9,0,0,7
44.4,16.57065359655217,22.78122892596709,9,0,0,7
44.5,16.57065359655217,22.78122892596709,9,0,0,7
44.6,16.57065359655217,22.78122892596709,9,0,0,7
44.7,16.57065359655217,22.78122892596709,9,0,0,7
44.8,16.57065359655217,22.78122892596709,9,0,0,7
44.9,16.57065359655217,22.78122892596709,9,0,0,7
45,16.57065359655217,22.78122892596709,9,0,0,7
45.1,16.57065359655217,22.78122892596709,9,0,0,7
45.2,16.57065359655217,22.78122892596709,9,0,0,7
45.3,16.57065359655217,22.78122892596709,9,0,0,7
45.4,16.57065359655217,22.78122892596709,9,0,0,7
45.5,16.57065359655217,22.78122892596709,9,0,0,7
45.6,16.57065359655217,22.78122892596709,9,0,0,7
45.7,16.57065359655217,22.78122892596709,9,0,0,7
45.8,16.57065359655217,22.78122892596709,9,0,0,7
45.9,16.57065359655217,22.78122892596709,9,0,0,7
